"","site","dat"
"72","12099000072","fia_small"
"73","12099000110","fia_small"
"74","12119000010","fia_small"
"75","12119000019","fia_small"
"76","12119000083","fia_small"
"77","12131000034","fia_small"
"78","12131000046","fia_small"
"79","12131000066","fia_small"
"80","12131000067","fia_small"
"81","12131000113","fia_small"
"82","13001000040","fia_small"
"83","13001000063","fia_small"
"84","13001000076","fia_small"
"85","13005000005","fia_small"
"86","13005000014","fia_small"
"87","13005000035","fia_small"
"88","13005000065","fia_small"
"89","13005000076","fia_small"
"90","13005000088","fia_small"
"91","13005000110","fia_small"
"92","13005000114","fia_small"
"93","13011000008","fia_small"
"94","13011000018","fia_small"
"95","13011000058","fia_small"
"96","13013000020","fia_small"
"97","13013000031","fia_small"
"98","13013000038","fia_small"
"99","13013000056","fia_small"
"100","13013000073","fia_small"
"101","13013000087","fia_small"
"102","13017000015","fia_small"
"103","13017000022","fia_small"
"104","13017000039","fia_small"
"105","13017000041","fia_small"
"106","13021000028","fia_small"
"107","13021000037","fia_small"
"108","13021000094","fia_small"
"109","13021000097","fia_small"
"110","13021000102","fia_small"
"111","13031000028","fia_small"
"112","13031000068","fia_small"
"113","13031000069","fia_small"
"114","13041000015","fia_small"
"115","13045000015","fia_small"
"116","13045000057","fia_small"
"117","13045000072","fia_small"
"118","13047000010","fia_small"
"119","13047000014","fia_small"
"120","13047000038","fia_small"
"121","13047000041","fia_small"
"122","13047000043","fia_small"
"123","13047000074","fia_small"
"124","13047000084","fia_small"
"125","13047000116","fia_small"
"126","13051000038","fia_small"
"127","13061000030","fia_small"
"128","13061000047","fia_small"
"129","13061000059","fia_small"
"130","13061000062","fia_small"
"131","13067000020","fia_small"
"132","13067000033","fia_small"
"133","13069000013","fia_small"
"134","13069000034","fia_small"
"135","13081000003","fia_small"
"136","13081000023","fia_small"
"137","13081000034","fia_small"
"138","13081000039","fia_small"
"139","13081000056","fia_small"
"140","13081000058","fia_small"
"141","13081000074","fia_small"
"142","13081000075","fia_small"
"143","13085000018","fia_small"
"144","13085000019","fia_small"
"145","13085000030","fia_small"
"146","13087000019","fia_small"
"147","13087000025","fia_small"
"148","13087000055","fia_small"
"149","13101000037","fia_small"
"150","13101000051","fia_small"
"151","13101000055","fia_small"
"152","13101000063","fia_small"
"153","13101000076","fia_small"
"154","13101000092","fia_small"
"155","13109000032","fia_small"
"156","13109000036","fia_small"
"157","13109000044","fia_small"
"158","13109000057","fia_small"
"159","13109000069","fia_small"
"160","13113000027","fia_small"
"161","13113000049","fia_small"
"162","13113000053","fia_small"
"163","13113000067","fia_small"
"164","13113000075","fia_small"
"165","13123000006","fia_small"
"166","13123000016","fia_small"
"167","13123000086","fia_small"
"168","14007000017","fia_small"
"169","14007000026","fia_small"
"170","14007000034","fia_small"
"171","14057000007","fia_small"
"172","14057000025","fia_small"
"173","14063000003","fia_small"
"174","14063000017","fia_small"
"175","14063000036","fia_small"
"176","14063000041","fia_small"
"177","14063000068","fia_small"
"178","14063000077","fia_small"
"179","14065000091","fia_small"
"180","14075000001","fia_small"
"181","14075000024","fia_small"
"182","14075000029","fia_small"
"183","14075000048","fia_small"
"184","14075000065","fia_small"
"185","14093000019","fia_small"
"186","14093000079","fia_small"
"187","14093000091","fia_small"
"188","14105000005","fia_small"
"189","14105000010","fia_small"
"190","14105000029","fia_small"
"191","14105000070","fia_small"
"192","14105000076","fia_small"
"193","14105000116","fia_small"
"194","14107000024","fia_small"
"195","14107000043","fia_small"
"196","14107000049","fia_small"
"197","14107000119","fia_small"
"198","14125000011","fia_small"
"199","14125000017","fia_small"
"200","14125000033","fia_small"
"201","14125000065","fia_small"
"202","14125000067","fia_small"
"203","14125000068","fia_small"
"204","14125000078","fia_small"
"205","14125000093","fia_small"
"206","14125000111","fia_small"
"207","14125000123","fia_small"
"208","14125000142","fia_small"
"209","14125000179","fia_small"
"210","15009000019","fia_small"
"211","15009000023","fia_small"
"212","15009000031","fia_small"
"213","15009000042","fia_small"
"214","15009000052","fia_small"
"215","15009000066","fia_small"
"216","15015000054","fia_small"
"217","15015000086","fia_small"
"218","15019000024","fia_small"
"219","15019000029","fia_small"
"220","15019000054","fia_small"
"221","15019000068","fia_small"
"222","15027000002","fia_small"
"223","15027000015","fia_small"
"224","15027000058","fia_small"
"225","15029000008","fia_small"
"226","15029000049","fia_small"
"227","15037000080","fia_small"
"228","15043000017","fia_small"
"229","15043000018","fia_small"
"230","15043000039","fia_small"
"231","15043000045","fia_small"
"232","15043000072","fia_small"
"233","15043000085","fia_small"
"234","15055000021","fia_small"
"235","15055000038","fia_small"
"236","15073000005","fia_small"
"237","15073000010","fia_small"
"238","15073000041","fia_small"
"239","15073000047","fia_small"
"240","15073000088","fia_small"
"241","15073000089","fia_small"
"242","15073000115","fia_small"
"243","15073000116","fia_small"
"244","15111000036","fia_small"
"245","15111000051","fia_small"
"246","15115000002","fia_small"
"247","15115000003","fia_small"
"248","15115000011","fia_small"
"249","15115000029","fia_small"
"250","15115000043","fia_small"
"251","15115000046","fia_small"
"252","15115000066","fia_small"
"253","15115000088","fia_small"
"254","15117000009","fia_small"
"255","15117000020","fia_small"
"256","15117000037","fia_small"
"257","15117000044","fia_small"
"258","15121000002","fia_small"
"259","15121000010","fia_small"
"260","15121000037","fia_small"
"261","15121000071","fia_small"
"262","15121000072","fia_small"
"263","15127000013","fia_small"
"264","15127000016","fia_small"
"265","15127000030","fia_small"
"266","15127000044","fia_small"
"267","15127000099","fia_small"
"268","15133000004","fia_small"
"269","15133000005","fia_small"
"270","15133000021","fia_small"
"271","15133000050","fia_small"
"272","15133000059","fia_small"
"273","15133000111","fia_small"
"274","16033000002","fia_small"
"275","16033000036","fia_small"
"276","16033000041","fia_small"
"277","16033000063","fia_small"
"278","16033000069","fia_small"
"279","16049000008","fia_small"
"280","16049000021","fia_small"
"281","16049000050","fia_small"
"282","16049000098","fia_small"
"283","16059000010","fia_small"
"284","16059000012","fia_small"
"285","16059000026","fia_small"
"286","16059000031","fia_small"
"287","16059000035","fia_small"
"288","16059000046","fia_small"
"289","16071000042","fia_small"
"290","16071000047","fia_small"
"291","16071000072","fia_small"
"292","16071000113","fia_small"
"293","16071000121","fia_small"
"294","16077000012","fia_small"
"295","16077000040","fia_small"
"296","16077000048","fia_small"
"297","16077000067","fia_small"
"298","16077000074","fia_small"
"299","16077000086","fia_small"
"300","16079000019","fia_small"
"301","16079000021","fia_small"
"302","16079000023","fia_small"
"303","16079000030","fia_small"
"304","16083000005","fia_small"
"305","16083000034","fia_small"
"306","16083000056","fia_small"
"307","16089000037","fia_small"
"308","16095000008","fia_small"
"309","16095000010","fia_small"
