"sim","source","dat","site","singletons","s0","n0","nparts","skew","shannon","simpson","skew_percentile","shannon_percentile","simpson_percentile","skew_range","simpson_range","nsamples","skew_sd","skew_mean","simpson_sd","simpson_mean"
-99,"observed","bbs","57037",FALSE,24,383,"7427985066324249",1.24788851475731,2.75717760882933,0.91787386920628,36.275,53.825,54.4,4.32843626424603,0.205618689881314,4000,0.65418087849564,1.5441473763492,0.0209813315543773,0.91787386920628
-99,"observed","bbs","57039",FALSE,30,327,"1230660180699430",1.57066178575086,2.88756708200663,0.924763160601895,41.55,39.825,43.125,4.64826628672103,0.19109876647121,4000,0.719527443363839,1.8040518469662,0.0196669389229151,0.924763160601895
-99,"observed","bbs","57040",FALSE,20,243,"1443564242537",0.879300584337654,2.51129022878816,0.899625734559434,18.15,33.575,47.025,4.57973419484316,0.307134752493692,4000,0.65678327919676,1.47392698899618,0.0288939058046082,0.899625734559434
-99,"observed","bbs","57041",FALSE,22,220,"486989445876",3.32484168407927,2.50928913531101,0.859834710743802,98.925,20.1,7.35,4.17953767442433,0.250702479338843,4000,0.678807468539856,3.32484168407927,0.0267710845510319,0.901522944214876
-99,"observed","bbs","57121",FALSE,45,427,"906399931267011935",1.96937838335265,3.24647142020259,0.946059047107152,41.65,47.775,53.875,5.21340340766714,0.174673255488704,4000,0.757829094457429,2.21253706896591,0.0148889900028655,0.946059047107152
-99,"observed","bbs","65002",FALSE,33,222,"907652902165",1.95512003478913,2.87551764429467,0.917214511809106,49.05,26.575,29.175,4.83243251361012,0.326231637042448,4000,0.775512904377844,2.05233590078925,0.0230810377118503,0.923919588507426
-99,"observed","bbs","65009",FALSE,51,536,"373110814358505997250",2.36351998505159,3.1303754904576,0.933706003564268,60.45,8.175,11.975,5.64278020933457,0.192205947872577,4000,0.779776716344175,2.36351998505159,0.0132807068547593,0.947595157955558
-99,"observed","bbs","65011",FALSE,37,447,"1915869946145864821",1.55833581767046,3.00748412302207,0.932190241680805,31.3,26.275,34.975,4.85269613599572,0.192493831609187,4000,0.721814216398777,1.95463383749545,0.0160868843221165,0.935121601129078
-99,"observed","bbs","65013",FALSE,60,496,"39154317621526021969",1.776155575673,3.51791191384672,0.958466116024974,15.625,63.55,70.9,5.97790273002797,0.112334157127992,4000,0.851319781694527,2.58343925126036,0.0128725092414503,0.958466116024974
-99,"observed","bbs","65014",FALSE,62,775,"33696621236944510982584831",1.83565889855831,3.57425521580375,0.960556087408949,24.875,60.75,63.3,5.83982898671215,0.0991134235171697,4000,0.773603626122019,2.38412339453067,0.0100918898342218,0.960556087408949
-99,"observed","bbs","65018",FALSE,57,439,"1527854021079779085",2.61458903441319,3.48633225022737,0.954249926058914,60.35,66.2,62.125,5.7951990520211,0.119966168710208,4000,0.825595335598315,2.61458903441319,0.0141504558776503,0.954249926058914
-99,"observed","bbs","65019",FALSE,54,751,"8913640111096760521585219",2.68034367159094,3.2504919707336,0.937785571302179,75.8,10.65,9.4,5.38914838439104,0.114950150797605,4000,0.774014062218642,2.68034367159094,0.0110713903203908,0.952299854078273
-99,"observed","bbs","65020",FALSE,56,738,"5673360351012539450556644",2.65551596661858,3.23311327610753,0.936681575487842,72.5,7.225,7.85,5.6866046170402,0.119623093249903,4000,0.790841529601241,2.65551596661858,0.0111532089019007,0.95286732985216
-99,"observed","bbs","65022",FALSE,55,732,"4191888612995282512703127",3.842287291515,3.20332404761758,0.928890829824719,96,6.725,3.475,5.5029502663142,0.107897369285437,4000,0.760672077898718,3.842287291515,0.0109617419817415,0.952209801166054
-99,"observed","bbs","65027",FALSE,41,417,"471034096420065336",1.77325954426197,3.16894524382781,0.942716330532696,36.25,46.8,54.225,4.99364344354388,0.126793529205413,4000,0.766005424181407,2.12542762121387,0.0157644549506057,0.942716330532696
-99,"observed","bbs","65028",FALSE,50,433,"1267922186225917199",2.78357471218023,3.24516814213232,0.939852471344986,74.325,29.9,28.075,5.46750726234375,0.123015216892724,4000,0.789845684341307,2.78357471218023,0.0141103858419414,0.945142133671842
-99,"observed","bbs","65033",FALSE,39,914,"326169005103851451604522219",2.3863926657162,2.79816771101389,0.907555219321136,81.6,0.525,1.675,4.85150448070195,0.143400255687123,4000,0.694374166059195,2.3863926657162,0.0121685370920649,0.942796657513323
-99,"observed","bbs","65036",FALSE,59,544,"558702507800362034231",1.90045096767948,3.44508251942738,0.95411169982699,25.45,43.675,51.15,5.80758580940501,0.115991295415225,4000,0.789703734850066,2.45736445786735,0.0118631820257182,0.95411169982699
-99,"observed","bbs","65117",FALSE,45,675,"175912985641869992048117",2.35403891445259,3.08502133301735,0.930756652949245,71.15,8.85,10.45,4.98912426748371,0.104858161865569,4000,0.727597337477633,2.35403891445259,0.0119524876580322,0.946082855418381
-99,"observed","bbs","68002",FALSE,61,1518,"2005805083984754960429138089540801186",5.26448077531643,2.81206803886236,0.870127638300864,99.875,0,0,5.31657813949992,0.060732778897412,4000,0.710521662192572,5.26448077531643,0.00735244497819172,0.960568137119606
-99,"observed","bbs","68005",FALSE,42,650,"42982095696197450162236",2.69184365986899,3.01255978029834,0.925197633136095,84.55,6.5,7.575,5.10162838055228,0.130721893491124,4000,0.716132339647446,2.69184365986899,0.0126162964773169,0.943651921893491
-99,"observed","bbs","68006",FALSE,58,1062,"1471897842290949768963556894510",3.9669526003057,3.00412530451903,0.906910884838683,97.475,0.125,0.125,5.20562278654976,0.0904238529442015,4000,0.739151910598434,3.9669526003057,0.00910629032770655,0.956886417359138
-99,"observed","bbs","68007",FALSE,45,530,"228743023730847868634",1.8552274556571,3.16575224762197,0.940348878604486,40.875,25.375,32.675,5.71891701106124,0.183253826984692,4000,0.752005436479633,2.123821711879,0.013793272029878,0.94386322000712
-99,"observed","bbs","68008",FALSE,37,896,"99005158122972338683291383",1.89477726331371,2.7654216975836,0.912630042251276,63.625,0.625,2.9,4.94239594797762,0.167485451211735,4000,0.666136276232057,1.89477726331371,0.0121824442028517,0.940697208949498
-99,"observed","bbs","68009",FALSE,39,569,"862717111318994079539",2.73622133957624,2.89605544536392,0.916602061397142,85.575,4.625,6.875,4.91800818626765,0.160210772761389,4000,0.727043383915033,2.73622133957624,0.0146181730570913,0.939388414602129
