"","s0","n0","source","dat","site","singletons","n_comparisons","mean_r2","mean_r2_log","mean_cd","mean_prop_off","mean_div"
"1",19,18021,"sampled","portal_plants","1983_summer",TRUE,3999,0.808340558065697,0.820894142759627,0.886885046908992,0.122953273138772,0.0533837617404999
"2",17,3950,"sampled","portal_plants","1984_summer",TRUE,4000,0.796411606173746,0.81090349367782,0.881345593988298,0.127967215189873,0.057717354360581
"3",18,3219,"sampled","portal_plants","1985_summer",TRUE,3999,0.802940782321255,0.820032012761783,0.884337073713088,0.126556103145078,0.0565737681737506
"4",17,7311,"sampled","portal_plants","1986_summer",TRUE,4000,0.797215365583635,0.806681224181165,0.882933081603027,0.126808199972644,0.0575861842143098
"5",17,12070,"sampled","portal_plants","1988_summer",TRUE,3999,0.796871680076618,0.803628616425229,0.883144001425141,0.126177132518424,0.056801179976967
"6",35,10749,"sampled","portal_plants","1991_summer",TRUE,3995,0.833194472832997,0.871860267365946,0.913563317911824,0.0984857921410974,0.0365652467143718
"7",60,21411,"sampled","portal_plants","1993_summer",TRUE,4000,0.891118044565216,0.914624523516313,0.936907646481489,0.0787010064919901,0.0233547368322344
"8",24,828,"sampled","portal_plants","1994_summer",TRUE,4000,0.790787863911439,0.824567832102638,0.885873736901012,0.127300120772947,0.0575281751005776
"9",29,2403,"sampled","portal_plants","1995_summer",TRUE,3999,0.83544325879744,0.858044957919134,0.901002312633507,0.110292450349375,0.0437183529863953
"10",20,1350,"sampled","portal_plants","1996_summer",TRUE,3998,0.803660948421742,0.823119257412568,0.887190366495615,0.12499323735942,0.0553575333491528
"11",51,5541,"sampled","portal_plants","1997_summer",TRUE,3999,0.882951216914318,0.896094211847308,0.926579552109355,0.089982250119469,0.0300785463719542
"12",50,3752,"sampled","portal_plants","1998_summer",TRUE,3999,0.873890827311142,0.895893567877165,0.923605394687132,0.0932669867893413,0.0319375667375663
"13",26,1087,"sampled","portal_plants","1999_summer",TRUE,4000,0.812971790242654,0.838931921097076,0.888758932971476,0.122241030358786,0.0528837907255847
"14",28,1066,"sampled","portal_plants","2000_summer",TRUE,3999,0.808787158419729,0.836460089957827,0.89427688218915,0.119961510077332,0.0525638869022242
"15",40,2542,"sampled","portal_plants","2001_summer",TRUE,3999,0.843974958796267,0.877887138625384,0.913147659503552,0.102632070291373,0.0384552377589173
"16",37,5031,"sampled","portal_plants","2002_summer",TRUE,3999,0.860465728145534,0.884265551679338,0.913180793987621,0.0989548718922923,0.035283569084931
