"sim1","sim2","r2","r2_log","cd","prop_off","div","n0"
38,579,0.491825463789873,0.826013902253716,0.841363841027045,0.146198830409357,0.0779309012302722,855
1327,1692,0.65355388042848,0.791835992051676,0.888384530497577,0.146198830409357,0.0651845088293046,855
1367,1883,0.916502924246978,0.683230290626396,0.940947583247294,0.0923976608187135,0.0438457040034578,855
1478,3118,0.68241259992841,0.84158764626257,0.856552734858798,0.135672514619883,0.0649161378945756,855
1166,1307,0.884485367460733,0.72720023574656,0.886957894257522,0.136842105263158,0.0677993290408298,855
1641,2116,0.900437642441453,0.875985603540245,0.960285816372854,0.0935672514619883,0.028328857919807,855
474,3735,0.813235909558765,0.811408745571859,0.933938383036152,0.125146198830409,0.0506452089323407,855
423,3339,0.916759898427671,0.860750887019444,0.925439546972691,0.087719298245614,0.0326023931386547,855
501,1446,0.669890298428937,0.883875472853292,0.724013385532258,0.171929824561404,0.110834661361418,855
2566,3248,0.754596050236721,0.898219795494916,0.765023569397546,0.184795321637427,0.0876943047728098,855
1590,2413,0.884945677835824,0.874402716017444,0.89030660960524,0.123976608187135,0.042056787024618,855
2080,3296,0.833041351743666,0.908600271936019,0.852778585148813,0.150877192982456,0.059199968955732,855
3049,3500,0.845473266954098,0.78241994263645,0.948586545570303,0.16374269005848,0.075802744323485,855
2161,4000,0.881178558312853,0.520741832559208,0.928155293278035,0.166081871345029,0.0955917447964193,855
949,2699,0.980748277487886,0.71299741059422,0.981747791227179,0.0619883040935673,0.0339799011358382,855
3234,3356,0.80923666670256,0.878213725154609,0.832214640340824,0.157894736842105,0.079945577014805,855
1537,1720,0.886212461674518,0.917159711553489,0.950933583746372,0.0970760233918129,0.0345864535178588,855
1184,2553,0.925064789869395,0.848931346220521,0.966918433828783,0.0982456140350877,0.0357221130920983,855
2774,3784,0.931978583596982,0.939410690653397,0.952705977056027,0.0783625730994152,0.0220665683357638,855
181,1976,0.691817255396744,0.637221818600878,0.889200653160341,0.201169590643275,0.139718636925116,855
3110,3571,0.709792933947773,0.885721354811253,0.91500656613798,0.127485380116959,0.0465700275595365,855
2907,3735,0.955387370858179,0.90848642288372,0.972160007214368,0.087719298245614,0.0245455253258688,855
218,3579,0.696292813304296,0.91004019541999,0.824928980812062,0.127485380116959,0.0501466101980421,855
1123,3474,0.955382968582747,0.690665559601679,0.960276446287089,0.0994152046783626,0.0586067040256771,855
88,3960,0.903443564772648,0.885792466727413,0.904445556905787,0.119298245614035,0.0402874347270397,855
581,1052,0.853687367242891,0.709740431883496,0.889730010525609,0.121637426900585,0.0553842463149147,855
133,730,0.878488139882583,0.869100694892898,0.892924132929699,0.102923976608187,0.0466960724564014,855
508,1884,0.911919829252156,0.764946733772252,0.953621526163293,0.107602339181287,0.0569039723321288,855
2307,2674,0.510408059273949,0.803521918694419,0.728821954707052,0.180116959064327,0.0840027080432422,855
1100,1953,0.962443597653178,0.97408254002471,0.962528344911215,0.0514619883040936,0.00957610658775695,855
879,2759,0.824142631846248,0.881471647421279,0.881529163785236,0.12046783625731,0.041415556203415,855
2696,3088,0.895283474833751,0.873803475025129,0.916325158638205,0.127485380116959,0.0496398411172095,855
1245,1941,0.917596018205531,0.872641372066348,0.925224652222468,0.0935672514619883,0.0287344269602041,855
2739,2973,0.9446224375022,0.939542605276029,0.949881073540974,0.0947368421052632,0.0268561126945909,855
775,3264,0.910312536167343,0.940436109197725,0.935129845562883,0.0994152046783626,0.0254166930204105,855
2163,2461,0.700880181714935,0.873100026069178,0.841265333309559,0.095906432748538,0.0462545040546018,855
1615,1821,0.86617157959221,0.964580739716826,0.869196213151584,0.0947368421052632,0.0289491631662321,855
557,2283,0.778057430971202,0.530296380084723,0.77968423875642,0.210526315789474,0.134933931844778,855
636,2744,0.923887390424815,0.850597482779805,0.948919475158756,0.0935672514619883,0.0329935355402217,855
100,2941,0.923164181168407,0.937078770557209,0.940559230173693,0.0818713450292398,0.0238555045394013,855
84,2785,0.875985387425495,0.554165804905716,0.883760471502395,0.12046783625731,0.0543170820656132,855
840,1556,0.901143032984284,0.882519185552755,0.956840327570372,0.101754385964912,0.0376415480356052,855
1199,3454,0.881048198721286,0.820285408081157,0.885086268252461,0.125146198830409,0.052498210579172,855
221,3571,0.662873209563255,0.957618671292895,0.842701210005768,0.133333333333333,0.0506581425377005,855
932,2532,0.784388304848766,0.831822701037702,0.929930430216644,0.149707602339181,0.0630449160452362,855
