"sim","source","dat","site","singletons","s0","n0","nparts","skew","shannon","simpson","nsingletons","prop_off_actual","skew_percentile","shannon_percentile","simpson_percentile","skew_percentile_excl","simpson_percentile_excl","nsingletons_percentile","nsingletons_percentile_excl","nsingletons_mean","nsingletons_95","nsingeltons_median","mean_prop_off_actual","prop_off_actual_2p5","prop_off_actual_97p5","prop_off_actual_5","prop_off_actual_95","prop_off_sim_95","mean_prop_off_sim","prop_off_sim_95_1t"
1964,"sampled","misc_abund_short","10",FALSE,43,855,"126200986261507706763942175",1.93678317627213,3.48986580722559,0.961671625457406,1,0.348538011695906,55.9,98.8,96.95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1965,"sampled","misc_abund_short","10",FALSE,43,855,"126200986261507706763942175",2.37679101672049,3.29349398975809,0.948331452412708,5,0.301754385964912,76.625,59.525,51.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1966,"sampled","misc_abund_short","10",FALSE,43,855,"126200986261507706763942175",2.67210502813742,3.0156227311626,0.921757805820594,5,0.231578947368421,85.95,3.725,3.55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1967,"sampled","misc_abund_short","10",FALSE,43,855,"126200986261507706763942175",1.2775752221355,3.27115931322321,0.9529195307958,7,0.335672514619883,15.95,51.5,70.375,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1968,"sampled","misc_abund_short","10",FALSE,43,855,"126200986261507706763942175",1.09772876155506,3.35330750930617,0.955611641188742,0,0.357894736842105,8.625,76.95,80.625,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1969,"sampled","misc_abund_short","10",FALSE,43,855,"126200986261507706763942175",1.99134682559044,3.0090745789315,0.927530522211963,5,0.273684210526316,59.125,3.4,6.775,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1970,"sampled","misc_abund_short","10",FALSE,43,855,"126200986261507706763942175",4.2809312169023,2.61029941755989,0.858312643206457,13,0.101754385964912,99.45,0.025,0.075,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1971,"sampled","misc_abund_short","10",FALSE,43,855,"126200986261507706763942175",2.28088305010454,3.27076086543269,0.945075749803358,0,0.295906432748538,73.375,51.275,39.725,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1972,"sampled","misc_abund_short","10",FALSE,43,855,"126200986261507706763942175",1.55456939426838,3.30335482802671,0.951827912862077,4,0.321637426900585,31.775,62.975,66.125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1973,"sampled","misc_abund_short","10",FALSE,43,855,"126200986261507706763942175",1.47629024310408,3.26461745756708,0.949688451147362,4,0.333333333333333,26.55,49.4,57.175,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
