"sim","source","dat","site","singletons","s0","n0","nparts","skew","shannon","simpson","nsingletons","prop_off_actual","mean_po_comparison","n_po_comparisons","skew_percentile","shannon_percentile","simpson_percentile","skew_percentile_excl","simpson_percentile_excl","nsingletons_percentile","nsingletons_percentile_excl","nsingletons_mean","nsingletons_95","nsingeltons_median","mean_prop_off_actual","prop_off_actual_2p5","prop_off_actual_97p5","prop_off_actual_5","prop_off_actual_95","mean_po_comparison_percentile","mean_po_comparison_sims","skew_range","simpson_range","nsamples","skew_unique","simpson_unique","shannon_unique","skew_2p5","skew_97p5","skew_95","skew_min","simpson_max","shannon_min","shannon_2p5","shannon_97p5","shannon_max","shannon_5","shannon_range","simpson_2p5","simpson_5","simpson_97p5","mean_po_comparison_95","mean_po_comparison_min","mean_po_comparison_max","skew_95_ratio_2t","simpson_95_ratio_2t","skew_95_ratio_1t","simpson_95_ratio_1t","shannon_95_ratio_2t","shannon_95_ratio_1t","mean_po_comparison_95_ratio_1t"
-99,"observed","fia_short","11003000020_jacknife_1",FALSE,8,30,"638",0.615604482047689,1.81746380200123,0.806666666666667,2,0,0.1386,500,35.8490566037736,52.2012578616352,55.3459119496855,35.6918238993711,53.6163522012579,60.062893081761,38.6792452830189,2.14622641509434,5,2,0.137683438155136,0.0333333333333333,0.3,0.0666666666666667,0.266666666666667,2.67295597484277,0.182422746331237,3.71231060122938,0.468888888888889,636,600,149,589,-0.408411733903243,1.80323616767745,1.7414325469044,-1.85615530061469,0.873333333333333,0.997318482783141,1.37173532517224,2.02461996927563,2.07243943503262,1.45466721667143,1.07512095224948,0.610833333333333,0.652777777777778,0.862222222222222,0.260566666666667,0.131933333333333,0.4374,0.595760468116079,0.536137440758294,0.969096671579071,0.470379146919431,0.607266226871828,0.57460717984207,0.421104321257093
-99,"observed","fia_short","11003000020_jacknife_10",FALSE,9,30,"598",1.31927792971379,1.93209945213034,0.817777777777778,2,0,0.1326,500,69.6308724832215,53.1879194630873,49.1610738255034,69.4630872483222,47.3154362416107,44.6308724832215,27.0134228187919,2.83389261744966,6,3,0.13165548098434,0.0333333333333333,0.266666666666667,0.0666666666666667,0.233333333333333,0.838926174496644,0.180206823266219,3.33333333333333,0.433333333333333,596,583,135,529,-0.319356508169424,2.00757760979013,1.92770771747662,-1.25925925925926,0.886666666666667,1.13443291586606,1.4913396044271,2.13697611016088,2.18751226401333,1.57644680330474,1.05307934814728,0.646388888888889,0.684444444444444,0.875833333333333,0.25695,0.129533333333333,0.420133333333333,0.698080235387865,0.529487179487179,0.956090093020763,0.466666666666667,0.613093882117882,0.580265353967546,0.438460656113788
-99,"observed","fia_short","11003000020_jacknife_2",FALSE,8,30,"638",0.281095434273768,1.85942881514923,0.822222222222222,2,0,0.153533333333333,500,17.2684458398744,64.0502354788069,68.6028257456829,17.1114599686028,66.7189952904239,59.9686028257457,38.61852433281,2.14756671899529,5,2,0.155886970172684,0.0333333333333333,0.333333333333333,0.0666666666666667,0.3,21.8210361067504,0.18218147566719,3.71231060122938,0.468888888888889,637,601,149,589,-0.407367467456888,1.80320122871303,1.74132932657942,-1.85615530061469,0.873333333333333,0.997318482783141,1.37184303011946,2.0245997906615,2.07243943503262,1.45469367953251,1.07512095224948,0.610888888888889,0.652888888888889,0.862222222222222,0.2578,0.130733333333333,0.4282,0.595469758224935,0.536018957345971,0.969068866706023,0.470142180094786,0.607147278802705,0.574582565996505,0.42716270730614
-99,"observed","fia_short","11003000020_jacknife_3",FALSE,8,30,"638",0.537588955636481,1.83006377239295,0.811111111111111,2,0,0.1566,500,31.2401883830455,55.8869701726845,59.0266875981162,31.0832025117739,56.9858712715856,59.9686028257457,38.61852433281,2.14756671899529,5,2,0.154317111459969,0.0666666666666667,0.333333333333333,0.0666666666666667,0.3,25.5886970172684,0.182341287284144,3.71231060122938,0.468888888888889,637,602,149,589,-0.407367467456888,1.80320122871303,1.74132932657942,-1.85615530061469,0.873333333333333,0.997318482783141,1.37184303011946,2.0245997906615,2.07243943503262,1.45469367953251,1.07512095224948,0.610888888888889,0.652888888888889,0.862222222222222,0.258253333333333,0.13,0.428133333333333,0.595469758224935,0.536018957345971,0.969068866706023,0.470142180094786,0.607147278802705,0.574582565996505,0.430187835420393
-99,"observed","fia_short","11003000020_jacknife_4",FALSE,9,30,"598",0.745096711634711,1.99805825126122,0.842222222222222,2,0,0.140933333333333,500,36.2876254180602,70.4013377926421,70.9030100334448,36.1204013377926,69.2307692307692,44.6488294314381,27.0903010033445,2.83110367892977,6,3,0.140523968784838,0.0333333333333333,0.333333333333333,0.0666666666666667,0.271666666666666,6.18729096989967,0.180176254180602,3.33333333333333,0.433333333333333,598,585,135,531,-0.319041982466958,2.00736419022625,1.92701258482319,-1.25925925925926,0.886666666666667,1.13443291586606,1.4918655773215,2.13686074104581,2.18751226401333,1.5774517453423,1.05307934814728,0.6465,0.684444444444444,0.875722222222222,0.257773333333333,0.129266666666667,0.420466666666667,0.697921851807964,0.528974358974359,0.955881553224736,0.466666666666667,0.612484866272498,0.579311064968029,0.441300366300366
-99,"observed","fia_short","11003000020_jacknife_5",FALSE,8,30,"638",0.704441925161987,1.80039216292254,0.8,2,0,0.144733333333333,500,41.0377358490566,47.7987421383648,49.685534591195,40.8805031446541,48.4276729559748,60.2201257861635,38.8364779874214,2.14150943396226,5,2,0.144392033542977,0.0333333333333333,0.3,0.0666666666666667,0.266666666666667,9.74842767295597,0.181990251572327,3.71231060122938,0.468888888888889,636,600,148,588,-0.408411733903243,1.80323616767745,1.73863692942875,-1.85615530061469,0.873333333333333,0.997318482783141,1.37173532517224,2.02461996927563,2.07243943503262,1.45466721667143,1.07512095224948,0.610833333333333,0.658333333333333,0.862222222222222,0.258283333333333,0.131333333333333,0.434066666666667,0.595760468116079,0.536137440758294,0.968343604883972,0.458530805687204,0.607266226871828,0.57460717984207,0.419345959039859
-99,"observed","fia_short","11003000020_jacknife_6",FALSE,9,30,"598",0.376064643710022,1.96451562275374,0.837777777777778,3,0,0.159733333333333,500,17.0854271356784,61.8090452261307,67.0016750418761,16.9179229480737,64.4891122278057,62.9815745393635,44.5561139028476,2.83417085427136,6,3,0.158961474036851,0.0333333333333333,0.333333333333333,0.0666666666666667,0.3,33.500837520938,0.180129089893914,3.33333333333333,0.433333333333333,597,584,135,530,-0.319199245318191,2.00747090000819,1.92736015114991,-1.25925925925926,0.886666666666667,1.13443291586606,1.4916025908743,2.13691842560335,2.18751226401333,1.57694927432352,1.05307934814728,0.646444444444444,0.684444444444444,0.875777777777778,0.257906666666667,0.13,0.419333333333333,0.698001043597914,0.529230769230769,0.955985823122749,0.466666666666667,0.61278937419519,0.579788209467788,0.442073732718894
-99,"observed","fia_short","11003000020_jacknife_7",FALSE,9,30,"598",0.569469317618033,1.96929004401604,0.837777777777778,3,0,0.145933333333333,500,25.2508361204013,62.876254180602,66.8896321070234,25.0836120401338,64.38127090301,63.0434782608696,44.6488294314381,2.83110367892977,6,3,0.145652173913043,0.0333333333333333,0.333333333333333,0.0666666666666667,0.3,12.5418060200669,0.180294314381271,3.33333333333333,0.433333333333333,598,585,135,531,-0.319041982466958,2.00736419022625,1.92701258482319,-1.25925925925926,0.886666666666667,1.13443291586606,1.4918655773215,2.13686074104581,2.18751226401333,1.5774517453423,1.05307934814728,0.6465,0.684444444444444,0.875722222222222,0.25823,0.129533333333333,0.4164,0.697921851807964,0.528974358974359,0.955881553224736,0.466666666666667,0.612484866272498,0.579311064968029,0.448628863583546
-99,"observed","fia_short","11003000020_jacknife_8",FALSE,9,30,"598",0.858324073654186,1.92157999424238,0.822222222222222,3,0,0.133866666666667,500,42.7852348993289,50.503355704698,52.6845637583893,42.6174496644295,51.1744966442953,63.0872483221477,44.6308724832215,2.83053691275168,6,3,0.134340044742729,0.0333333333333333,0.266666666666667,0.0666666666666667,0.241666666666667,1.1744966442953,0.180274608501119,3.33333333333333,0.433333333333333,596,583,134,529,-0.319356508169424,2.00757760979013,1.92770771747662,-1.25925925925926,0.886666666666667,1.13443291586606,1.4913396044271,2.13697611016088,2.18751226401333,1.57644680330474,1.05307934814728,0.646388888888889,0.684444444444444,0.875833333333333,0.259066666666667,0.128733333333333,0.420866666666667,0.698080235387865,0.529487179487179,0.956090093020763,0.466666666666667,0.613093882117882,0.580265353967546,0.446143313555454
-99,"observed","fia_short","11003000020_jacknife_9",FALSE,8,30,"638",0.950468038876447,1.82454560556493,0.804444444444444,2,0,0.131066666666667,500,57.8369905956113,54.3887147335423,52.9780564263323,57.6802507836991,51.7241379310345,60.0313479623824,38.7147335423197,2.14576802507837,5,2,0.131295715778474,0.0333333333333333,0.266666666666667,0.0666666666666667,0.233333333333333,0.156739811912226,0.182267607105538,3.71231060122938,0.468888888888889,638,602,149,590,-0.406323201010533,1.80316628974861,1.74122610625443,-1.85615530061469,0.873333333333333,0.997318482783141,1.37195073506668,2.02457961204738,2.07243943503262,1.45472014239359,1.07512095224948,0.610944444444444,0.653,0.862222222222222,0.25787,0.130466666666667,0.428733333333333,0.59517904833379,0.535900473933649,0.969041061832975,0.469905213270142,0.607028330733582,0.574557952150939,0.427145730889584
