"sim","source","dat","site","singletons","s0","n0","nparts","skew","shannon","simpson","nsingletons","mean_po_comparison","n_po_comparisons","skew_percentile","shannon_percentile","simpson_percentile","skew_percentile_excl","simpson_percentile_excl","shannon_percentile_excl","nsingletons_percentile","nsingletons_percentile_excl","mean_po_comparison_percentile","mean_po_comparison_percentile_excl","mean_po_comparison_sims","skew_range","simpson_range","nsamples","skew_unique","simpson_unique","shannon_unique","skew_2p5","skew_97p5","skew_95","skew_min","simpson_max","shannon_min","shannon_2p5","shannon_97p5","shannon_max","shannon_5","shannon_range","simpson_2p5","simpson_5","simpson_97p5","mean_po_comparison_95","mean_po_comparison_min","mean_po_comparison_max","nsingletons_mean","nsingletons_95","nsingletons_median","nsingletons_min","nsingletons_max","nsingletons_2p5","nsingletons_97p5","skew_95_ratio_2t","simpson_95_ratio_2t","skew_95_ratio_1t","simpson_95_ratio_1t","shannon_95_ratio_2t","shannon_95_ratio_1t","mean_po_comparison_95_ratio_1t","nsingletons_95_ratio_1t","nsingletons_95_ratio_2t"
-99,"observed","mcdb","1001",TRUE,5,66,"7599",1.0311339791244,0.59815690079575,0.290174471992654,3,0.388454545454545,500,95.2457956015524,0.323415265200517,0.452781371280724,95.2134540750323,0.420439844760673,0.291073738680466,99.9676584734799,99.4501940491591,99.5472186287193,99.5472186287193,0.18494165784625,2.1466252583998,0.682277318640955,3092,3075,977,3083,-0.538997934576114,1.05282218797081,1.02909865894481,-1.0733126291999,0.798898071625344,0.312649713650733,0.858556670629158,1.56543980575358,1.60673568513265,0.954097981777566,1.29408597148192,0.429878328741965,0.486937557392103,0.782828282828283,0.264633333333333,0.129272727272727,0.488151515151515,0.308861578266494,1,0,0,4,0,2,0.741545417076451,0.517311574697173,0.979403032698846,0.457234185733513,0.546241247260367,0.50432329670317,0.377176391117116,0.25,0.5
-99,"observed","mcdb","1002",TRUE,8,96,"716644",1.59468157698932,0.855094858036557,0.434895833333333,6,0.395166666666667,500,93.3099473816086,0.0501127536958156,0.175394637935355,93.3099473816086,0.175394637935355,0.0501127536958156,100,100,99.7494362315209,99.7494362315209,0.175451281007266,2.84034906571145,0.658637152777778,3991,3973,1257,3989,-0.304821509938289,1.71318215066208,1.6439825797582,-0.985829639611945,0.872395833333333,0.567537958239492,1.29765182601484,1.98542512435282,2.06893836692716,1.39052390089441,1.50140040868766,0.604383680555556,0.651801215277778,0.852810329861111,0.2509375,0.124,0.535708333333333,0.641944374843398,2,0,0,5,0,3,0.710477344127031,0.377182866556837,0.925876418189968,0.33492586490939,0.458087858747253,0.451854456750633,0.308318996053031,0.4,0.6
-99,"observed","mcdb","1003",TRUE,3,17,"24",0.130129494729197,0.808269958000182,0.491349480968858,1,0.147058823529412,24,41.6666666666667,29.1666666666667,29.1666666666667,37.5,25,25,95.8333333333333,66.6666666666667,16.6666666666667,16.6666666666667,0.185848252344416,0.769800358919502,0.449826989619377,24,23,23,24,-0.384900179459751,0.38490017945975,0.38490017945975,-0.384900179459751,0.664359861591695,0.443757284260148,0.521133885640136,1.08941421444273,1.0950778621205,0.593262802507738,0.651320577860352,0.266262975778547,0.315916955017301,0.66038062283737,0.257161125319693,0.135549872122762,0.31457800511509,0.375,1,0,0,2,0,1.425,0.999999999999999,0.876153846153846,1,0.774615384615385,0.872504797360229,0.770457861566836,0.679285714285714,0.5,0.7125
-99,"observed","mcdb","1004",TRUE,1,5,"1",NA,0,0,0,0,1,0,100,100,0,0,0,100,0,0,0,NA,-Inf,0,1,1,1,1,NA,NA,NA,Inf,0,0,0,0,0,0,0,0,0,0,NA,Inf,-Inf,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
-99,"observed","mcdb","1005",TRUE,5,63,"6351",1.0398054570898,0.586835639698681,0.279163517258755,3,0.385619047619048,500,96.0013440860215,0.100806451612903,0.168010752688172,96.0013440860215,0.168010752688172,0.100806451612903,100,99.6975806451613,99.7311827956989,99.7311827956989,0.183239012630142,2.1466252583998,0.568405139833711,2976,2961,788,2965,-0.592717729390505,1.05064094149822,1.02802108960469,-1.0733126291999,0.799193751574704,0.516936079566828,0.866192203658028,1.5619633905755,1.60735354244261,0.966447728251671,1.09041746287578,0.425799949609473,0.495338876291257,0.781557067271353,0.263079365079365,0.127365079365079,0.430793650793651,0.341733870967742,2,0,0,3,0,2,0.76555452073352,0.625886524822695,0.978901049720727,0.534574468085106,0.638077810201702,0.587761876539161,0.447269303201507,0.666666666666667,0.666666666666667
-99,"observed","mcdb","1006",TRUE,5,39,"1014",0.781615747061528,1.18214324910888,0.61275476660092,1,0.16825641025641,500,73.8476953907816,19.5390781563126,19.0380761523046,73.74749498998,18.6372745490982,19.438877755511,88.6773547094188,59.2184368737475,41.2825651302605,41.1823647294589,0.185689738451261,2.1466252583998,0.607495069033531,998,986,339,990,-0.607199547458488,1.05913044244072,1.03804852362088,-1.0733126291999,0.799474030243261,0.472864667869916,0.88608628422559,1.57371000750501,1.60808727748498,0.9795051474959,1.13522260961507,0.428665351742275,0.493096646942801,0.786324786324786,0.265492307692308,0.133025641025641,0.456205128205128,0.540080160320641,2,0,0,4,0,2,0.776255652158578,0.588744588744589,0.983572304741578,0.504329004329004,0.605717079148539,0.553708254808476,0.409885750555379,0.5,0.5
-99,"observed","mcdb","1007",TRUE,10,62,"79725",1.96219896906286,1.45729782200125,0.63891779396462,5,0.280193548387097,500,94.4387493593029,0.97385955920041,1.33264992311635,94.4387493593029,1.33264992311635,0.97385955920041,98.8467452588416,95.0794464377242,97.9753972321886,97.9753972321886,0.176543972487227,4.10220915491274,0.554110301768991,3902,3843,598,3822,-0.215121034778587,2.08604083090353,1.97964696929183,-1.83323309398861,0.898543184183143,0.896758877004261,1.55980822362599,2.20896266406848,2.29516518247472,1.63500613540295,1.39840630547046,0.680293964620187,0.713839750260146,0.881893860561915,0.244995161290323,0.125967741935484,0.503548387096774,1.6465914915428,4,1,0,7,0,5,0.560956737889945,0.363826291079812,0.929469931759622,0.333333333333333,0.464210178331612,0.47207956978546,0.315237078171721,0.571428571428571,0.714285714285714
-99,"observed","mcdb","1008",TRUE,16,464,"1702770134701988",0.601289276621697,2.34058599791839,0.885116304994055,1,0.13710775862069,500,15.9,37.5,51.05,15.9,51.05,37.5,86.75,62.15,54.7,54.7,0.141690219827586,3.4755226604496,0.404568593935791,4000,4000,3286,4000,0.182646053995544,2.50613803293389,2.27416598067191,-0.299630828920733,0.925878790130797,1.32513099097947,2.03718151486029,2.59061002936195,2.67615993175556,2.11082324231593,1.35102894077608,0.806375640978002,0.823554083680143,0.915614317033294,0.195756896551724,0.102206896551724,0.460775862068966,0.568,2,0,0,8,0,3,0.668530234424588,0.270012743679823,0.740549569387554,0.252923009804597,0.409634832976814,0.418448985345105,0.260898206472087,0.25,0.375
-99,"observed","mcdb","1009",TRUE,19,227,"417385482513",2.3232840016771,2.15624211668483,0.821828484930816,5,0.209806167400881,500,90.825,2.3,2.6,90.825,2.6,2.3,94.925,89.2,95.625,95.625,0.15128454845815,4.01533795041898,0.294591395136719,4000,4000,2000,4000,0.340212827842722,2.83961050179213,2.58003851202355,-0.486100336520352,0.937336257253197,1.6879160312979,2.16745448195607,2.75656642010686,2.84987921828589,2.23867211559382,1.16196318698798,0.821200683110481,0.838186264045489,0.927752333637369,0.206018061674009,0.110925110132159,0.381057268722467,1.881,6,1,0,10,0,7,0.622462593388585,0.3616930171278,0.763606671817988,0.336567852437418,0.506997075938249,0.526012449909383,0.352023809523809,0.6,0.7
-99,"observed","mcdb","1010",TRUE,21,195,"71009378365",3.04118899924324,2.11642522497927,0.790900723208416,8,0.238738461538462,500,97.55,0.9,0.55,97.55,0.55,0.9,96.975,94.75,97.9,97.9,0.15515331025641,4.29317832952913,0.27750164365549,4000,3998,1680,4000,0.366396297550312,3.02929214018535,2.75478337496792,-0.413421878276901,0.944536489151874,1.73981290128984,2.22703281606625,2.85148895099703,2.97012517991434,2.29908181103626,1.2303122786245,0.825667324128863,0.846216962524655,0.933493754109139,0.211367179487179,0.112164102564103,0.360779487179487,2.834,8,2,0,14,0,9,0.620262108452202,0.388561410159212,0.737962649129533,0.354302501895375,0.507559052916978,0.545425239215129,0.399022277227723,0.571428571428571,0.642857142857143
