"sim","source","dat","site","singletons","s0","n0","nparts","skew","shannon","simpson","nsingletons","prop_off_actual","skew_percentile","shannon_percentile","simpson_percentile","skew_percentile_excl","simpson_percentile_excl","nsingletons_percentile","nsingletons_percentile_excl","nsingletons_mean","nsingletons_95","nsingeltons_median","mean_prop_off_actual","prop_off_actual_2p5","prop_off_actual_97p5","prop_off_actual_5","prop_off_actual_95","prop_off_sim_95","mean_prop_off_sim","prop_off_sim_95_1t"
1,"sampled","misc_abund_short","11",FALSE,43,693,"290386568108473847024963",1.92182610027546,3.31478189734217,0.952201878608805,2,0.272727272727273,52.775,68.45,70.625,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,"sampled","misc_abund_short","11",FALSE,43,693,"290386568108473847024963",1.45170784912411,3.41163241284555,0.958161287165616,3,0.287157287157287,22.975,91.925,91.675,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,"sampled","misc_abund_short","11",FALSE,43,693,"290386568108473847024963",2.43370255885442,3.10202377735175,0.932941036837141,5,0.157287157287157,76.125,15.3,15.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,"sampled","misc_abund_short","11",FALSE,43,693,"290386568108473847024963",1.1332355358852,3.23308054036919,0.950377824836699,1,0.255411255411255,8.45,43.1,63.275,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,"sampled","misc_abund_short","11",FALSE,43,693,"290386568108473847024963",1.98153798473471,3.2712321439113,0.9463007731406,0,0.215007215007215,56.025,54.7,46.725,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,"sampled","misc_abund_short","11",FALSE,43,693,"290386568108473847024963",1.62013678635015,3.2827533915591,0.949374178811408,0,0.229437229437229,33.525,58.3,58.875,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,"sampled","misc_abund_short","11",FALSE,43,693,"290386568108473847024963",2.37033858238089,3.36261773890403,0.950973349241747,0,0.236652236652237,73.575,81.9,65.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,"sampled","misc_abund_short","11",FALSE,43,693,"290386568108473847024963",1.32761290425113,3.27795357650022,0.952114423975896,4,0.265512265512266,16.375,56.6,70.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,"sampled","misc_abund_short","11",FALSE,43,693,"290386568108473847024963",1.21629870031142,3.32864643921121,0.953596988229023,1,0.262626262626263,11.25,72.45,75.975,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10,"sampled","misc_abund_short","11",FALSE,43,693,"290386568108473847024963",3.77993496259694,2.86672355972631,0.898833730002561,17,0.125541125541126,97.675,0.85,0.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,"sampled","misc_abund_short","11",FALSE,43,693,"290386568108473847024963",2.3566044685167,3.40860607327432,0.956299752836549,2,0.287157287157287,73.1,91.375,85.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12,"sampled","misc_abund_short","11",FALSE,43,693,"290386568108473847024963",1.09379181187742,3.35019478071849,0.95768236893778,7,0.324675324675325,7.25,78.875,90.275,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13,"sampled","misc_abund_short","11",FALSE,43,693,"290386568108473847024963",1.83517991563338,3.29114445412265,0.94857042908991,1,0.200577200577201,47.575,61.4,55.825,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14,"sampled","misc_abund_short","11",FALSE,43,693,"290386568108473847024963",1.64338493797202,3.46950245168164,0.960435107621255,1,0.292929292929293,35.2,97.925,95.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15,"sampled","misc_abund_short","11",FALSE,43,693,"290386568108473847024963",2.27714704922393,3.3562973544995,0.953018121849291,4,0.262626262626263,69.925,80.35,73.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16,"sampled","misc_abund_short","11",FALSE,43,693,"290386568108473847024963",1.91655045678523,3.28336901389582,0.949257572634196,2,0.248196248196248,52.5,58.55,58.325,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17,"sampled","misc_abund_short","11",FALSE,43,693,"290386568108473847024963",2.49848645339899,3.01305894810326,0.92449958250824,8,0.116883116883117,78.375,6,7.125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18,"sampled","misc_abund_short","11",FALSE,43,693,"290386568108473847024963",1.47727203948964,3.2753500303375,0.949790629444309,0,0.243867243867244,24.5,55.8,60.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19,"sampled","misc_abund_short","11",FALSE,43,693,"290386568108473847024963",2.50517256327153,3.3039616672359,0.945517845950746,1,0.212121212121212,78.55,65.4,43.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20,"sampled","misc_abund_short","11",FALSE,43,693,"290386568108473847024963",1.76073928752329,3.41532605480279,0.957399182507408,1,0.275613275613276,43.175,92.675,89.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21,"sampled","misc_abund_short","11",FALSE,43,693,"290386568108473847024963",1.86395667312577,3.16829376464727,0.942973332583722,13,0.19047619047619,49.225,27.15,36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22,"sampled","misc_abund_short","11",FALSE,43,693,"290386568108473847024963",1.8995038225294,3.30085052664728,0.949249243621538,1,0.229437229437229,51.525,64.125,58.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23,"sampled","misc_abund_short","11",FALSE,43,693,"290386568108473847024963",1.73704966592526,3.2451905193653,0.947312748178549,3,0.232323232323232,41.8,46.975,50.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24,"sampled","misc_abund_short","11",FALSE,43,693,"290386568108473847024963",1.88744078910818,3.03473983134877,0.930105008027086,3,0.142857142857143,50.45,7.925,11.975,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25,"sampled","misc_abund_short","11",FALSE,43,693,"290386568108473847024963",1.61236041341525,3.34657475288232,0.953917655216357,4,0.272727272727273,32.95,77.825,77.475,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26,"sampled","misc_abund_short","11",FALSE,43,693,"290386568108473847024963",1.14080197952312,3.26122374074023,0.951294016229081,7,0.251082251082251,8.625,51.65,67.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
