"sim","source","dat","site","singletons","s0","n0","nparts","skew","shannon","simpson","nsingletons","prop_off_actual","skew_percentile","shannon_percentile","simpson_percentile","skew_percentile_excl","simpson_percentile_excl","nsingletons_percentile","nsingletons_percentile_excl","nsingletons_mean","nsingletons_95","nsingeltons_median","mean_prop_off_actual","prop_off_actual_2p5","prop_off_actual_97p5","prop_off_actual_5","prop_off_actual_95","prop_off_sim_95","mean_prop_off_sim","prop_off_sim_95_1t"
2473,"sampled","misc_abund_short","22",FALSE,13,757,"19519405997274789",0.97492877923915,2.29109371992566,0.878102919645615,0,0.0554821664464993,51.35,78.925,74.65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2474,"sampled","misc_abund_short","22",FALSE,13,757,"19519405997274789",0.0901490703782337,2.24867989851367,0.882406216571358,0,0.105680317040951,3.275,67.05,81.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2475,"sampled","misc_abund_short","22",FALSE,13,757,"19519405997274789",1.65463034939954,2.23002716189458,0.85795106526667,0,0.114927344782034,86.275,61.35,43.025,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2476,"sampled","misc_abund_short","22",FALSE,13,757,"19519405997274789",0.242435813571095,2.21778619463005,0.877268785042815,0,0.113606340819022,6.75,57.625,73.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2477,"sampled","misc_abund_short","22",FALSE,13,757,"19519405997274789",0.677838402563697,2.14204586934767,0.85950067097229,0,0.083223249669749,29.375,35.5,45.55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2478,"sampled","misc_abund_short","22",FALSE,13,757,"19519405997274789",1.13057277051402,2.16805801202801,0.852509994782296,0,0.0990752972258917,61.65,42.7,36.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2479,"sampled","misc_abund_short","22",FALSE,13,757,"19519405997274789",1.43741890180743,1.97030232684172,0.819922903626042,2,0.184940554821664,77.75,8.15,12.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2480,"sampled","misc_abund_short","22",FALSE,13,757,"19519405997274789",0.802834120590979,2.22839098124771,0.874406900631534,1,0.105680317040951,39.45,60.875,68.35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2481,"sampled","misc_abund_short","22",FALSE,13,757,"19519405997274789",1.58650322083239,2.15117317950151,0.849211847503442,0,0.132100396301189,83.975,38.125,33.025,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2482,"sampled","misc_abund_short","22",FALSE,13,757,"19519405997274789",1.65639601584852,2.07527074266128,0.82693452043368,0,0.143989431968296,86.375,21.15,15.825,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2483,"sampled","misc_abund_short","22",FALSE,13,757,"19519405997274789",2.59466707863949,1.9361590932641,0.753010650049123,0,0.278731836195509,99.8,5.375,1.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2484,"sampled","misc_abund_short","22",FALSE,13,757,"19519405997274789",1.34658756155299,2.27924600394723,0.875251505543156,0,0.105680317040951,73.1,76,69.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2485,"sampled","misc_abund_short","22",FALSE,13,757,"19519405997274789",0.752213054510192,2.2807955279561,0.879519901439493,0,0.083223249669749,35,76.375,76.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2486,"sampled","misc_abund_short","22",FALSE,13,757,"19519405997274789",0.433665776890089,2.18428936375956,0.866979961573967,0,0.117569352708058,14.125,47.075,56.425,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2487,"sampled","misc_abund_short","22",FALSE,13,757,"19519405997274789",0.931467117441567,2.16643710431916,0.858505991634223,0,0.129458388375165,48.475,42.325,44.075,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2488,"sampled","misc_abund_short","22",FALSE,13,757,"19519405997274789",-0.00567347307359524,2.37439541123423,0.898230343303976,0,0.101717305151915,2.075,95.775,97.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2489,"sampled","misc_abund_short","22",FALSE,13,757,"19519405997274789",0.412508425580982,2.27381711057118,0.8819455229832,0,0.0660501981505945,13.225,74.625,80.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
