"sim","source","dat","site","singletons","s0","n0","nparts","skew","shannon","simpson","nsingletons","prop_off_actual","mean_po_comparison","n_po_comparisons","skew_percentile","shannon_percentile","simpson_percentile","skew_percentile_excl","simpson_percentile_excl","nsingletons_percentile","nsingletons_percentile_excl","nsingletons_mean","nsingletons_95","nsingeltons_median","mean_prop_off_actual","prop_off_actual_2p5","prop_off_actual_97p5","prop_off_actual_5","prop_off_actual_95","mean_po_comparison_percentile","prop_off_sim_95","mean_prop_off_sim","prop_off_sim_95_1t","skew_range","simpson_range","nsamples","skew_unique","simpson_unique","shannon_unique","skew_2p5","skew_97p5","skew_95","skew_min","simpson_max","shannon_min","shannon_2p5","shannon_97p5","shannon_max","shannon_5","shannon_range","simpson_2p5","simpson_5","simpson_97p5","mean_po_comparison_95","mean_po_comparison_min","mean_po_comparison_max","skew_95_ratio_2t","simpson_95_ratio_2t","skew_95_ratio_1t","simpson_95_ratio_1t","shannon_95_ratio_2t","shannon_95_ratio_1t","mean_po_comparison_95_ratio_1t"
-99,"observed","mcdb","1001",TRUE,5,66,"7599",1.0311339791244,0.59815690079575,0.290174471992654,3,0,0.375257575757576,1000,95.2457956015524,0.323415265200517,0.452781371280724,95.2134540750323,0.420439844760673,99.9676584734799,99.4501940491591,0.308861578266494,1,0,0.382859970990631,0.106060606060606,0.560606060606061,0.151515151515152,0.545454545454545,99.4178525226391,0.363636363636364,0.182509114430201,0.638888888888889,2.1466252583998,0.682277318640955,3092,3075,977,3083,-0.538997934576114,1.05282218797081,1.02909865894481,-1.0733126291999,0.798898071625344,0.312649713650733,0.858556670629158,1.56543980575358,1.60673568513265,0.954097981777566,1.29408597148192,0.429878328741965,0.486937557392103,0.782828282828283,0.266326515151515,0.1305,0.491,0.741545417076451,0.517311574697173,0.979403032698846,0.457234185733513,0.546241247260367,0.50432329670317,0.376772580170638
-99,"observed","mcdb","1002",TRUE,8,96,"716644",1.59468157698932,0.855094858036557,0.434895833333333,6,0,0.400854166666667,1000,93.3099473816086,0.0501127536958156,0.175394637935355,93.3099473816086,0.175394637935355,100,100,0.641944374843398,2,0,0.399038461538462,0.1875,0.5625,0.21875,0.541666666666667,99.8246053620646,0.333333333333333,0.176819653299916,0.476190476190476,2.84034906571145,0.658637152777778,3991,3973,1257,3989,-0.304821509938289,1.71318215066208,1.6439825797582,-0.985829639611945,0.872395833333333,0.567537958239492,1.29765182601484,1.98542512435282,2.06893836692716,1.39052390089441,1.50140040868766,0.604383680555556,0.651801215277778,0.852810329861111,0.251286458333333,0.1246875,0.545760416666667,0.710477344127031,0.377182866556837,0.925876418189968,0.33492586490939,0.458087858747253,0.451854456750633,0.30065804121416
-99,"observed","mcdb","1003",TRUE,3,17,"24",0.130129494729197,0.808269958000182,0.491349480968858,1,0,0.147058823529412,24,41.6666666666667,29.1666666666667,29.1666666666667,37.5,25,95.8333333333333,66.6666666666667,0.375,1,0,0.147058823529412,0.0338235294117647,0.260294117647059,0.0588235294117647,0.235294117647059,16.6666666666667,0.294117647058824,0.174019607843137,0.8,0.769800358919502,0.449826989619377,24,23,23,24,-0.384900179459751,0.38490017945975,0.38490017945975,-0.384900179459751,0.664359861591695,0.443757284260148,0.521133885640136,1.08941421444273,1.0950778621205,0.593262802507738,0.651320577860352,0.266262975778547,0.315916955017301,0.66038062283737,0.257161125319693,0.135549872122762,0.31457800511509,0.999999999999999,0.876153846153846,1,0.774615384615385,0.872504797360229,0.770457861566836,0.679285714285714
-99,"observed","mcdb","1004",TRUE,1,5,"1",NA,0,0,0,0,0,1,0,100,100,0,0,100,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,-Inf,0,1,1,1,1,NA,NA,NA,Inf,0,0,0,0,0,0,0,0,0,0,NA,Inf,-Inf,NA,NA,NA,NA,NA,NA,NA
-99,"observed","mcdb","1005",TRUE,5,63,"6351",1.0398054570898,0.586835639698681,0.279163517258755,3,0,0.392349206349206,1000,96.0013440860215,0.100806451612903,0.168010752688172,96.0013440860215,0.168010752688172,100,99.6975806451613,0.341733870967742,2,0,0.391209037378392,0.111111111111111,0.571428571428571,0.158730158730159,0.555555555555556,99.7311827956989,0.349206349206349,0.179638163509131,0.567567567567568,2.1466252583998,0.568405139833711,2976,2961,788,2965,-0.592717729390505,1.05064094149822,1.02802108960469,-1.0733126291999,0.799193751574704,0.516936079566828,0.866192203658028,1.5619633905755,1.60735354244261,0.966447728251671,1.09041746287578,0.425799949609473,0.495338876291257,0.781557067271353,0.262190476190476,0.131015873015873,0.423,0.76555452073352,0.625886524822695,0.978901049720727,0.534574468085106,0.638077810201702,0.587761876539161,0.449252514270182
-99,"observed","mcdb","1006",TRUE,5,39,"1014",0.781615747061528,1.18214324910888,0.61275476660092,1,0,0.171779456348595,998,73.8476953907816,19.5390781563126,19.0380761523046,73.74749498998,18.6372745490982,88.6773547094188,59.2184368737475,0.540080160320641,2,0,0.171779456348595,0.0512820512820513,0.307692307692308,0.0512820512820513,0.282051282051282,45.6913827655311,0.358974358974359,0.180670215775532,0.684210526315789,2.1466252583998,0.607495069033531,998,986,339,990,-0.607199547458488,1.05913044244072,1.03804852362088,-1.0733126291999,0.799474030243261,0.472864667869916,0.88608628422559,1.57371000750501,1.60808727748498,0.9795051474959,1.13522260961507,0.428665351742275,0.493096646942801,0.786324786324786,0.265343466296325,0.132731527917085,0.45251138029473,0.776255652158578,0.588744588744589,0.983572304741578,0.504329004329004,0.605717079148539,0.553708254808476,0.414697603345665
-99,"observed","mcdb","1007",TRUE,10,62,"79725",1.96219896906286,1.45729782200125,0.63891779396462,5,0,0.279129032258065,1000,94.4387493593029,0.97385955920041,1.33264992311635,94.4387493593029,1.33264992311635,98.8467452588416,95.0794464377242,1.6465914915428,4,1,0.278686694995122,0.112903225806452,0.403225806451613,0.129032258064516,0.387096774193548,97.9241414659149,0.32258064516129,0.176166895388634,0.59375,4.10220915491274,0.554110301768991,3902,3843,598,3822,-0.215121034778587,2.08604083090353,1.97964696929183,-1.83323309398861,0.898543184183143,0.896758877004261,1.55980822362599,2.20896266406848,2.29516518247472,1.63500613540295,1.39840630547046,0.680293964620187,0.713839750260146,0.881893860561915,0.245862096774194,0.126758064516129,0.505370967741935,0.560956737889945,0.363826291079812,0.929469931759622,0.333333333333333,0.464210178331612,0.47207956978546,0.314579960807702
-99,"observed","mcdb","1008",TRUE,16,464,"1702770134701988",0.601289276621697,2.34058599791839,0.885116304994055,1,0,0.139497844827586,1000,15.9,37.5,51.05,15.9,51.05,86.75,62.15,0.568,2,0,0.138462284482759,0.0646551724137931,0.25,0.0711206896551724,0.226293103448276,59.075,0.247844827586207,0.141140888670443,0.454545454545455,3.4755226604496,0.404568593935791,4000,4000,3286,4000,0.182646053995544,2.50613803293389,2.27416598067191,-0.299630828920733,0.925878790130797,1.32513099097947,2.03718151486029,2.59061002936195,2.67615993175556,2.11082324231593,1.35102894077608,0.806375640978002,0.823554083680143,0.915614317033294,0.19534838362069,0.105092672413793,0.464385775862069,0.668530234424588,0.270012743679823,0.740549569387554,0.252923009804597,0.409634832976814,0.418448985345105,0.251203572628245
-99,"observed","mcdb","1009",TRUE,19,227,"417385482513",2.3232840016771,2.15624211668483,0.821828484930816,5,0,0.209229074889868,1000,90.825,2.3,2.6,90.825,2.6,94.925,89.2,1.881,6,1,0.209721365638767,0.101321585903084,0.317180616740088,0.114537444933921,0.303964757709251,95.575,0.268722466960352,0.153626651982379,0.53,4.01533795041898,0.294591395136719,4000,4000,2000,4000,0.340212827842722,2.83961050179213,2.58003851202355,-0.486100336520352,0.937336257253197,1.6879160312979,2.16745448195607,2.75656642010686,2.84987921828589,2.23867211559382,1.16196318698798,0.821200683110481,0.838186264045489,0.927752333637369,0.205729295154185,0.110140969162996,0.378127753303965,0.622462593388585,0.3616930171278,0.763606671817988,0.336567852437418,0.506997075938249,0.526012449909383,0.356690447618891
-99,"observed","mcdb","1010",TRUE,21,195,"71009378365",3.04118899924324,2.11642522497927,0.790900723208416,8,0,0.242179487179487,1000,97.55,0.9,0.55,97.55,0.55,96.975,94.75,2.834,8,2,0.242542307692308,0.112820512820513,0.358974358974359,0.138461538461538,0.343589743589744,98.175,0.271794871794872,0.156038089371423,0.576923076923077,4.29317832952913,0.27750164365549,4000,3998,1680,4000,0.366396297550312,3.02929214018535,2.75478337496792,-0.413421878276901,0.944536489151874,1.73981290128984,2.22703281606625,2.85148895099703,2.97012517991434,2.29908181103626,1.2303122786245,0.825667324128863,0.846216962524655,0.933493754109139,0.211629487179487,0.11405641025641,0.361230769230769,0.620262108452202,0.388561410159212,0.737962649129533,0.354302501895375,0.507559052916978,0.545425239215129,0.39475404054026
