"rank","abund","site","dat","singletons","sim","source"
2,1,"12035000001","fia_small",FALSE,-99,"observed"
3,1,"12035000001","fia_small",FALSE,-99,"observed"
1,1,"12035000008","fia_small",FALSE,-99,"observed"
2,1,"12035000008","fia_small",FALSE,-99,"observed"
3,1,"12035000008","fia_small",FALSE,-99,"observed"
4,1,"12035000008","fia_small",FALSE,-99,"observed"
1,1,"12035000023","fia_small",FALSE,-99,"observed"
1,1,"12035000026","fia_small",FALSE,-99,"observed"
2,1,"12035000026","fia_small",FALSE,-99,"observed"
3,1,"12035000026","fia_small",FALSE,-99,"observed"
1,1,"12035000062","fia_small",FALSE,-99,"observed"
2,1,"12035000062","fia_small",FALSE,-99,"observed"
3,1,"12035000062","fia_small",FALSE,-99,"observed"
1,1,"12035000064","fia_small",FALSE,-99,"observed"
2,1,"12035000064","fia_small",FALSE,-99,"observed"
3,1,"12035000064","fia_small",FALSE,-99,"observed"
4,1,"12035000064","fia_small",FALSE,-99,"observed"
5,1,"12035000064","fia_small",FALSE,-99,"observed"
1,1,"12091000006","fia_small",FALSE,-99,"observed"
2,1,"12091000006","fia_small",FALSE,-99,"observed"
1,1,"12091000022","fia_small",FALSE,-99,"observed"
2,1,"12091000022","fia_small",FALSE,-99,"observed"
3,1,"12091000022","fia_small",FALSE,-99,"observed"
4,1,"12091000022","fia_small",FALSE,-99,"observed"
1,1,"12091000036","fia_small",FALSE,-99,"observed"
1,1,"12091000080","fia_small",FALSE,-99,"observed"
2,1,"12091000080","fia_small",FALSE,-99,"observed"
3,1,"12091000080","fia_small",FALSE,-99,"observed"
4,1,"12091000080","fia_small",FALSE,-99,"observed"
5,1,"12091000080","fia_small",FALSE,-99,"observed"
1,1,"12091000088","fia_small",FALSE,-99,"observed"
2,1,"12091000088","fia_small",FALSE,-99,"observed"
3,1,"12091000088","fia_small",FALSE,-99,"observed"
4,1,"12091000088","fia_small",FALSE,-99,"observed"
1,1,"12099000014","fia_small",FALSE,-99,"observed"
2,1,"12099000014","fia_small",FALSE,-99,"observed"
1,1,"12099000026","fia_small",FALSE,-99,"observed"
2,1,"12099000026","fia_small",FALSE,-99,"observed"
3,1,"12099000026","fia_small",FALSE,-99,"observed"
4,1,"12099000026","fia_small",FALSE,-99,"observed"
5,1,"12099000026","fia_small",FALSE,-99,"observed"
6,1,"12099000026","fia_small",FALSE,-99,"observed"
7,1,"12099000026","fia_small",FALSE,-99,"observed"
1,1,"12099000040","fia_small",FALSE,-99,"observed"
2,1,"12099000040","fia_small",FALSE,-99,"observed"
3,1,"12099000040","fia_small",FALSE,-99,"observed"
4,1,"12099000040","fia_small",FALSE,-99,"observed"
1,1,"12099000134","fia_small",FALSE,-99,"observed"
2,1,"12099000134","fia_small",FALSE,-99,"observed"
3,1,"12099000134","fia_small",FALSE,-99,"observed"
4,1,"12099000134","fia_small",FALSE,-99,"observed"
5,1,"12099000134","fia_small",FALSE,-99,"observed"
6,1,"12099000134","fia_small",FALSE,-99,"observed"
1,1,"12119000007","fia_small",FALSE,-99,"observed"
2,1,"12119000007","fia_small",FALSE,-99,"observed"
3,1,"12119000007","fia_small",FALSE,-99,"observed"
1,1,"12119000010","fia_small",FALSE,-99,"observed"
2,1,"12119000010","fia_small",FALSE,-99,"observed"
