"source","dat","site","singletons","s0","n0","sim","nparts","real_po","real_r2","best_po_sim","sim_pos_from_best","sim_r2_from_best","ncomparisons","real_po_percentile","real_po_percentile_excl","real_r2_percentile","real_r2_percentile_excl"
"observed","mcdb","1001",TRUE,5,66,-99,"7599",0.393939393939394,0.601044668587896,1597,0.132368655823848,0.553756887850169,3091,99.5794241345843,99.4500161759948,17.5671303785183,17.5347783888709
"observed","mcdb","1002",TRUE,8,96,-99,"716644",0.416666666666667,0.551282051282051,73,0.129430346700084,0.774085805263977,3990,99.8245614035088,99.7243107769424,7.44360902255639,7.44360902255639
"observed","mcdb","1003",TRUE,3,17,-99,"24",0.0588235294117647,0.960526315789474,17,0.135549872122762,-1.37074069379795,23,26.0869565217391,0,100,95.6521739130435
"observed","mcdb","1004",TRUE,1,5,-99,"1",NA,NA,NA,NA,NA,0,NA,NA,NA,NA
"observed","mcdb","1005",TRUE,5,63,-99,"6351",0.380952380952381,0.630417956656347,382,0.132127517673736,0.466777669276114,2975,99.8319327731092,99.6974789915966,21.5798319327731,21.5798319327731
"observed","mcdb","1006",TRUE,5,39,-99,"1014",0.128205128205128,0.88061797752809,739,0.132731527917085,0.338011339995306,997,62.9889669007021,45.3360080240722,65.4964894684052,65.295887662989
"observed","mcdb","1007",TRUE,10,62,-99,"79725",0.258064516129032,0.69908330011957,3071,0.130305711521446,0.658305617367745,3901,98.1030504998718,97.1033068443989,23.6349653934888,23.6349653934888
"observed","mcdb","1008",TRUE,16,464,-99,"1702770134701988",0.107758620689655,0.903351658095407,1302,0.104350979986376,0.873199370840446,3999,63.4658664666166,61.2153038259565,46.0865216304076,46.0865216304076
"observed","mcdb","1009",TRUE,19,227,-99,"417385482513",0.185022026431718,0.829029371084533,547,0.116138065353343,0.827901797543817,3999,95.3238309577394,94.6986746686672,29.1572893223306,29.1572893223306
"observed","mcdb","1010",TRUE,21,195,-99,"71009378365",0.251282051282051,0.677539435112373,347,0.114849225126795,0.860100382504586,3999,98.4246061515379,98.2745686421605,6.07651912978245,6.07651912978245
"observed","mcdb","1011",TRUE,15,128,-99,"136079959",0.2421875,0.803916206311874,2975,0.121610480745186,0.807922316385696,3999,98.1495373843461,97.7744436109027,27.4318579644911,27.4318579644911
"observed","mcdb","1012",TRUE,19,363,-99,"398885915040228",0.146005509641873,0.895432227907985,3099,0.101559136340559,0.867014745712553,3999,89.7224306076519,88.8472118029507,42.0105026256564,42.0105026256564
"observed","mcdb","1013",TRUE,21,1360,-99,"14093590611163174222001538",0.539705882352941,0.332804774438666,604,0.0940737022490917,0.901256751086234,3999,100,100,0.0500125031257814,0.0500125031257814
"observed","mcdb","1014",TRUE,19,1826,-99,"135073397527730212720621980",0.420043811610077,0.451402926161503,3156,0.0916496922697268,0.902383089442257,3999,100,100,0.200050012503126,0.200050012503126
"observed","mcdb","1015",TRUE,16,2045,-99,"2429763657897987629383882",0.440586797066015,0.47265177800074,3214,0.0988750855195461,0.882564670557685,3999,100,100,1.12528132033008,1.12528132033008
"observed","mcdb","1016",TRUE,13,1824,-99,"561247551690887108885",0.411732456140351,0.468553964596327,818,0.103626372601922,0.879331479849975,3999,100,100,0.775193798449612,0.775193798449612
"observed","mcdb","1017",TRUE,20,2009,-99,"4200331913177938962368347478",0.436037829766053,0.485211577168834,294,0.0932232809322291,0.900040247095535,3999,100,100,0.525131282820705,0.525131282820705
"observed","mcdb","1018",TRUE,36,2028,-99,"1496292091053117332492619743888181486",0.507889546351085,0.404186401833461,2710,0.0796798065394061,0.919526637227043,3999,100,100,0.250062515628907,0.250062515628907
"observed","mcdb","1019",TRUE,21,2074,-99,"42060436565498119352824388882",0.458534233365477,0.397776458515753,2910,0.0913450397314854,0.900414944584298,3999,100,100,0.150037509377344,0.150037509377344
"observed","mcdb","1020",TRUE,19,2054,-99,"1038438178746281286228875170",0.342745861733203,0.585809675861495,601,0.0935823050212407,0.887819127631719,3999,99.9749937484371,99.9749937484371,2.12553138284571,2.12553138284571
"observed","mcdb","1021",TRUE,17,83,-99,"1466126",0.144578313253012,0.822105951602354,229,0.130251466789,0.7728544899209,3992,72.7204408817635,65.1803607214429,37.4248496993988,37.4248496993988
"observed","mcdb","1022",TRUE,13,248,-99,"75077579802",0.0766129032258065,0.953817031428275,1605,0.115750711871516,0.826961064654347,3999,17.4043510877719,13.8284571142786,87.3718429607402,87.3718429607402
"observed","mcdb","1023",TRUE,5,22,-99,"119",0.0909090909090909,0.936708860759494,34,0.13597842835131,0.284292321792147,118,44.9152542372881,12.7118644067797,88.9830508474576,88.135593220339
"observed","mcdb","1024",TRUE,12,56,-99,"42333",0.321428571428571,0.662751677852349,1043,0.127761655120764,0.726384417209263,3815,99.475753604194,99.2398427260813,17.824377457405,17.824377457405
"observed","mcdb","1025",TRUE,13,17,-99,"5",0,1,-99,0.0588235294117647,0.660864400584795,4,25,0,100,75
"observed","mcdb","1026",TRUE,31,40,-99,"30",0.075,0.8076525336091,9,0.0543103448275862,0.55272383560474,29,89.6551724137931,68.9655172413793,55.1724137931034,51.7241379310345
"observed","mcdb","1027",TRUE,8,13,-99,"7",0.0769230769230769,0.79746835443038,5,0.102564102564103,0.220413988637927,6,66.6666666666667,0,83.3333333333333,66.6666666666667
"observed","mcdb","1028",TRUE,8,15,-99,"15",0.0666666666666667,0.894039735099338,12,0.119047619047619,-0.642709006388875,14,50,0,85.7142857142857,78.5714285714286
